"IdU","Nazwisko","Imie","DUr","Plec","KlasaU","Miasto","Email"
1,"Stepien","Konrad",2000-01-01 00:00:00,"M","Ia",4,
2,"Stepien","Julia",1974-06-02 00:00:00,"K","Ib",3,
3,"Stepien","Julia",2002-10-01 00:00:00,"K","IIb",5,
4,"Kowalski","Jan",,"M","IIa",12,
5,"Nowak","Anna",2004-12-10 00:00:00,"K","Ib",5,
6,"Wisniewski-Lewandowski","Piotr",,,"IIIb",33,
7,"Wójcik","Katarzyna",,"K","Ia",21,
8,"Kowalczyk","Marek",,"M","IVa",7,
9,"Kaminska","Agnieszka",,"K","IIb",44,
10,"Lewandowski","Tomasz",,"M","IIIa",18,
11,"Zielinska","Magdalena",,"K","Ib",2,
12,"Szymanski","Pawel",,"M","IVb",30,
13,"Dabrowska","Joanna",,"K","IIa",15,
14,"Kozlowski","Krzysztof",,"M","IIIb",41,
15,"Jankowska","Monika",,"K","Ia",9,
16,"Mazur","Adam",,"M","IVa",26,
17,"Wojciechowska","Ewa",,"K","IIb",37,
18,"Kwiatkowski","Michal",,"M","IIIa",3,
19,"Kaczmarek","Aleksandra",,"K","Ib",20,
20,"Piotrowski","Lukasz",,"M","IVb",46,
21,"Grabowska","Natalia",,"K","IIa",11,
22,"Nowicki","Jakub",,"M","IIIb",28,
23,"Pawlowska","Karolina",,"K","Ia",6,
24,"Michalski","Szymon",,"M","IVa",39,
25,"Król","Marta",,"K","IIb",14,
26,"Wieczorek","Filip",,"M","IIIa",23,
27,"Jablonska","Paulina",,"K","Ib",1,
28,"Wróbel","Patryk",,"M","IVb",35,
29,"Majewska","Weronika",,"K","IIa",17,
30,"Olszewski","Marcin",,"M","IIIb",42,
31,"Rutkowska","Amelia",,"K","Ia",8,
32,"Jaworski","Kamil",,"M","IVa",29,
33,"Malinowska","Zuzanna",,"K","IIb",45,
34,"Adamczyk","Bartosz",,"M","IIIa",10,"badamczyk@gmail.com"
35,"Dudek","Emilia",,"K","Ib",24,
36,"Zajac","Grzegorz",,"M","IVb",31,
37,"Walczak","Olga",,,,,
38,"Baran","Rafal",,"M","IIIb",22,
39,"Sikora","Lena",,"K","Ia",13,
40,"Krupa","Daniel",,"M","IVa",40,
41,"Piasecka","Amelia",,"K","IIb",16,
42,"Urban","Hubert",,"M","IIIa",34,
43,"Kubiak","Hanna",,"K","Ib",19,
44,"Wilk","Damian",,"M","IVb",27,
45,"Chmielewska","Iga",,"K","IIa",38,
46,"Sawicki","Adrian",,"M","IIIb",43,
47,"Borkowska","Kinga",,"K","Ia",25,
48,"Sobczak","Konrad",,"M","IVa",47,
49,"Szczepanska","Patrycja",,"K","IIb",32,
50,"Lis","Igor",,"M","IIIa",36,
51,"Górska","Milena",,"K","Ib",12,
52,"Rutkowski","Oskar",,"M","IVb",5,
53,"Kurek","Aneta",,"K","IIa",21,
54,"Czarnecki","Maciej",,"M","IIIb",7,
55,"Marciniak","Eliza",,"K","Ia",44,
56,"Witkowski","Sebastian",,"M","IVa",18,
57,"Janik","Daria",,"K","IIb",2,
58,"Skowronski","Artur",,"M","IIIa",30,
59,"Tomczak","Nikola",,"K","Ib",15,
60,"Ostrowski","Przemyslaw",,"M","IVb",41,
61,"Guzek","Franek",2011-08-11 00:00:00,"M","IIIa",38,
62,"Brzeczyszczykiewicz","Julia",2020-02-16 00:00:00,"K","Ia",39,
